title,location,url,salary,date_posted,date_updated,work_mode,contract_type,work_time,industry,position_level,experience_required,description,scraped_date,saved_to_db
Koordynator/Koordynatorka ds. administracji,Gdańsk OliwaAleja Grunwaldzka 504/3,https://ogloszenia.trojmiasto.pl/praca-zatrudnie/koordynatorkoordynatorka-ds-administracji-ogl66093052.html,,23.05.2025,,Stacjonarna,Umowa zlecenie,Pełny etat,"Sekretariat / Recepcja,, Wsparcie administracyjne,, Sprzedaż / doradztwo",Pracownik biurowy,,"Twój zakres obowiązkówkoordynacja biura oraz agentówkontakt telefoniczny i mailowy z klientami oraz kontrahentamiumawianie spotkań z klientamiwystawianie faktur, faktur korygującychwspółpraca z zewnętrznym biurem rachunkowymkontrola płatnościnadzór nad bieżącą dokumentacją w firmietworzenie ogłoszeń ofertowych i publikacje na wybranych portalachprace administracyjno-biurowenadzór nad umowami.Nasze wymaganiastatus studentaco najmniej rok doświadczenia w pracy na podobnym stanowiskuchęć rozwoju i zdobywania wiedzy z rynku nieruchomościodpowiedzialność oraz uczciwośćbardzo dobra organizacja pracy.Aplikacje prosimy wysyłać na adres mailowy:g...@westa...Wyświetl e-mail×Zabezpieczenie anty-spamoweZamknijlub za pośrednictwem portalu pracuj.pl:https://www.pracuj.pl/praca/koordynator-koordynatorka-ds-administracyjnych-gdansk-aleja-grunwaldzka-504,oferta,100411...Wyświetl numer×Zabezpieczenie anty-spamoweZamknij2?s=d9be61ad&searchId=MTc0Nzk5OTUxNDA1My4yMTky",2025-05-25 16:35:39,2025-05-25 16:35:59.281
Przedstwiciel handlowy/sprzedawca,Gdańsk Wrzeszcz GórnyAntoniego Słonimskiego,https://ogloszenia.trojmiasto.pl/praca-zatrudnie/przedstwiciel-handlowysprzedawca-ogl65747755.html,,21.06.2024,24.05.2025,Stacjonarna,Umowa o pracę,Pełny etat,"Obsługa klienta,, Przedstawiciel handlowy",Specjalista,,"W związku z dynamicznym rozwojem firmy poszukujemy przedstawiciela handlowego. Mile widziane osoby z doświadczeniem w sprzedaży materiałów wykończeniowych lub wyposażenia wnętrz.  Mile widziane doświadczenie w handlu produktami takimi jak pergole, markizy, żaluzje.do obowiązków zatrudnionej osoby należeć będzie:-Prezentacja produktóww Showroomie-Przygotowywanie ofert handlowych-Obsługa zamówień-Współpraca z ekipami montażowymiOferujemy stałą ciekawą pracę przy wyjątkowych projektach oraz uczciwe warunki!Dbamy o jakość robót i sprzedawanych materiałów i to wyróżnia nas na tle konkurencji.SPRAWDŹ NASZE REALIZACJE WWW.TARASFACTORY.PL   I DOŁĄCZ DO NAJLEPSZYCH!  JEŚLI MASZ CHĘCI I CHCESZ COŚ OSIĄGNĄĆ NAPEWNO SIĘ DOGADAMY!",2025-05-25 16:35:39,2025-05-25 16:35:59.281
Architekt krajobrazu/projektant tarasów,Gdańsk Wrzeszcz GórnyAntoniego Słonimskiego,https://ogloszenia.trojmiasto.pl/praca-zatrudnie/architekt-krajobrazuprojektant-tarasow-ogl66093881.html,,24.05.2025,,"Stacjonarna,, Zdalna","Umowa o pracę,, Umowa zlecenie,, Umowa o dzieło,, Kontrakt B2B","Pełny etat,, Część etatu,, Dodatkowa / Sezonowa",Architektura i projektowanie,"Specjalista,, Pracownik biurowy",,Poszukujemy osoby na stanowisko architekt krajobrazu/projektant tarasówwymagania:-znajomość programów do projektowania-doświadczenie  przy projektowaniu wnętrz lub ogrodówobowiązki:-praca przy projektowaniu oraz aranżacji tarasów/balkonów-oferowanie klientom produktów z oferty firmydokładny zakres obowiązków oraz forma zatrudnienia do ustalenia.Istnieje możliwość zatrudnienia na pełen etat w połączeniu z obowiązkami handlowca lub praca dorywcza w zakresie projektowania.,2025-05-25 16:35:39,2025-05-25 16:35:59.282
Agent / Agentka nieruchomości,Gdynia Wzgórze św. MaksymilianaPartyzantów 39/102,https://ogloszenia.trojmiasto.pl/praca-zatrudnie/agent-agentka-nieruchomosci-ogl66090658.html,,21.05.2025,,Hybrydowa,"Umowa zlecenie,, Kontrakt B2B",Pełny etat,Pośrednictwo nieruchomości,Pracownik biurowy,,"Dołącz do naszego zespołu jakoAgent Nieruchomości!Trójmiasto i okolice |  Elastyczny czas pracy |  Wysokie zarobki bez limituTwoje zadania:Pozyskiwanie nieruchomości do sprzedaży i wynajmuKompleksowa obsługa klientów – od pierwszego kontaktu po finalizację transakcjiPrezentacje nieruchomości i doradztwoNegocjacje i koordynacja procesu sprzedaży lub najmuTworzenie ofert i ich promocja w social mediaKogo szukamy?Osób komunikatywnych, ambitnych i zorientowanych na sukcesZ prawem jazdy i gotowością do spotkań z klientamiUmiejących pracować w zespole i pod presją czasuDoświadczenie w nieruchomościach mile widziane, ale nie wymaganeCo oferujemy?Wysokie prowizje– zarabiasz tyle, ile wypracujeszElastyczny czas pracy i możliwość pracy zdalnejProfesjonalne szkolenia i mentoring– uczymy od podstawNowoczesne narzędzia pracy– telefon, systemy CRM, portale ogłoszenioweButikowa atmosfera– indywidualne podejście i realne wsparcieWspółpraca B2B– dla osób prowadzących działalność gospodarcząAplikuj już dziś!Wyślij CV nar...@stalk...Wyświetl e-mail×Zabezpieczenie anty-spamoweZamknij",2025-05-25 16:35:39,2025-05-25 16:35:59.283
Asystent kontrolera jakości,PępowoGdańska 3,https://ogloszenia.trojmiasto.pl/praca-zatrudnie/asystent-kontrolera-jakosci-ogl66084114.html,,14.05.2025,,Stacjonarna,Umowa o pracę,Pełny etat,"Elektronika / Elektryka,, Produkcja",Asystent,,"Dołącz do naszego zespołu i wspieraj nas w zapewnianiu najwyższej jakości produktów!Obowiązki:kontrola jakości wyprodukowanych rozdzielnic i sterownic niskiego i średniego napięcia zgodnie z dokumentacją techniczną,nadzór nad jakością w trakcie produkcji,prowadzenie dokumentacji jakościowej zgodnie z obowiązującymi procedurami i instrukcjami,raportowanie i analiza wszystkich niezgodności wykrytych podczas badania wyrobu.Wymagania:wykształcenie zawodowe lub średnie elektryczneduża motywacja do pracy, odpowiedzialność i terminowość wykonywanych zadańdyspozycyjnośćmile widziana wiedza techniczna w zakresie elektrycznym, elektronicznymmile widziana znajomość schematów elektrycznychOferujemy:zatrudnienie w ramach umowy o pracę w firmie o stabilnej pozycji na rynkuprofesjonalne narzędzia pracymożliwość rozwoju i podnoszenia kwalifikacji zawodowychwsparcie w procesie wdrożenia",2025-05-25 16:35:39,2025-05-25 16:35:59.284
Praca,Gdańsk al. Grunwaldzka 82/303al. Grunwaldzka 82/303,https://ogloszenia.trojmiasto.pl/praca-zatrudnie/praca-ogl66090922.html,,21.05.2025,,Stacjonarna,"Umowa o pracę,, Kontrakt B2B",Pełny etat,"Sekretariat / Recepcja,, Zarządzanie biurem",Specjalista,,"Biuro:- Szeroko pojęta obsługa sekretariatu, a w szczególności dbanie o wystrój, zaopatrzenie biura;- Pierwszy kontakt z klientem/kontrahentem tj. obsługa telefonu, email, poczty przychodzącej i wychodzącej, spotkań w biurze; przekierowywanie tematów do odNasze wymaganiaDoświadczenie na podobnym stanowisku;Doświadczenie w obsłudze programów księgowo-kadrowych;Wielozadaniowość, dokładność i systematyczność przy wykonywaniu pracy;Swoboda w formułowaniu pism urzędowych;Wysoki poziom kultury osobistej, dobra prezentacja;Mile widzianeZnajomość branży budowlanej/deweloperskiej;Znajomość ustawy deweloperskiej, pojęcia OMRP, zagadnień związanych z uzyskaniem pozwolenia na budowę, pozwolenia na użytkowanie; styczność z dokumentami geodezyjnymi;To oferujemyZatrudnienie w ramach umowy o pracę/kontrakt b2bNarzędzia niezbędne do wykonywania powierzonych obowiązkówAtrakcyjną lokalizację biura w centrum Gdańska z łatwym dostępem do komunikacji miejskiej (Centrum Handlowe Manhattan)Pracę w młodym zespole, przyjazną atmosferę i dobrą kawkępowiednich działów;",2025-05-25 16:35:40,2025-05-25 16:35:59.285
Asystent ds. administracyjnych,Gdańsk KokoszkiNowatorów 20,https://ogloszenia.trojmiasto.pl/praca-zatrudnie/asystent-ds-administracyjnych-ogl66052955.html,,14.04.2025,23.05.2025,Zdalna,Umowa o pracę,Pełny etat,"Sekretariat / Recepcja,, Wsparcie administracyjne,, Zarządzanie biurem","Specjalista,, Asystent",,"Twoja rola:Będziesz odpowiadać za wsparcie administracyjne gdańskiego zakładu Aptiv.Twoje obowiązki będą obejmować m.in.:obsługę administracyjno-biurowązapewnienie sprawnego przepływu informacji i dokumentówwsparcie w zakresie organizacji wyjazdów służbowych i spotkań biznesowychorganizacja bieżących wydarzeń w zakładziewspółpraca z dostawcamiWymagania:umiejętność obsługi pakietu Officesystematyczność i skrupulatnośćbardzo dobra organizacja pracy własnejumiejętność pracy w zespolepozytywne nastawienie na obsługę klientabardzo dobra znajomość j. angielskiegoprawo jazdy kat. BCo zyskasz?Oferujemy możliwość zdobycia doświadczenia w międzynarodowej firmie,  konieczne do pracy szkolenia oraz w zależnościod osiąganych wyników i sytuacji rynkowej - możliwość dalszego rozwoju zawodowego w Aptiv Gdańsk.bogaty pakiet medycznyubezpieczenie na życie na preferencyjnych warunkachpakiet świadczeń  z Zakładowego Funuszu Świadczeń Socjalnychdodfinansowanie kart sportowych",2025-05-25 16:35:40,2025-05-25 16:35:59.286
"Fizjoterapeuta Fizjoterapia domowa Trójmiasto, Wejherowo, Pruszcz (WS)",Gdynia ŚródmieścieMorska 7,https://ogloszenia.trojmiasto.pl/praca-zatrudnie/fizjoterapeuta-fizjoterapia-domowa-trojmiasto-wejherowo-pruszcz-ws-ogl65539948.html,,06.12.2023,03.03.2025,"Stacjonarna,, Praca w terenie,, Hybrydowa","Umowa o pracę,, Umowa zlecenie,, Kontrakt B2B",Pełny etat,"Medycyna,, Służba zdrowia,, Rehabilitacja / Masaże","Specjalista,, Asystent",,"Masz swój samochód i chcesz realizować wizyty domowe - zgłoś się do nas! Mamy dla Ciebie atrakcyjną formułę współpracy.W związku z rozwojem marki DomowiFIZJOTERAPEUCI.pl (Centrum Medyczne MORSKA) zatrudnimy:FIZJOTERAPEUTKI / FIZJOTERAPEUTÓWz różnym stopniem doświadczenia zawodowegodo WIZYT DOMOWYCH na terenie Trójmiasta, Wejherowa, Straszyna, Pruszcza Gdańskiego, Żukowa, Kartuz, Lęborka i okolicOferujemy zatrudnienie na umowę o pracę lub inną formę - Ty wybierasz!Wymagania:prawo wykonywania zawoduprawo jazdy kategorii Bwłasny samochóduczciwośćzaangażowanie w powierzone zadaniaOferujemy:pracę na wizytach domowychmożliwość pracy w systemie hybrydowym - stacjonarnie w jednej z trzech placówek Centrum Medycznego MORSKA, a częściowo w terenie - możesz wybrać!możliwość pracy w pełnym lub częściowym wymiarze godzinszerokie możliwości rozwoju zawodowegowsparcie ze strony pracodawcy i przełożonychumowę o pracę (lub inną formę zatrudnienia do wyboru)atrakcyjne wynagrodzenieszkolenia z zakresu osteopatii i fizjoterapii - darmowe lub płatne częściowo, w bardzo atrakcyjnej cenierzetelne rozliczanie realizowanych zleceństabilne zatrudnienie w firmie o ugruntowanej pozycji na rynku medycznympracę w przyjaznej atmosferze w zespole profesjonalistówspotkania integracyjnejeżeli specjalizujesz się w fizjoterapii uroginekologicznej, stomatologicznej, neurologicznej i innych - w Centrum Medycznym MORSKA masz możliwość oraz wsparcie w realizacji swoich pomysłów, a także wpływ na kreowanie nowych usługCentrum Medyczne Morska oprócz rehabilitacji w placówkach w Gdyni, realizuje REHABILITACJĘ DOMOWĄ na terenie całego Trójmiasta oraz okolic, dzięki czemu nasi fizjoterapeuci realizują wizyty domowe w dogodnym dla nich rejonie.UWAGA:Zgłoszenia w formie CV (najlepiej PDF) przyjmujemy WYŁĄCZNIE na adres mailowy:b...@cmmor...Wyświetl e-mail×Zabezpieczenie anty-spamoweZamknij- w tytule proszę podać imię i nazwisko oraz kod ""WS""Skontaktujemy się z wybranymi kandydatkami / kandydatami.",2025-05-25 16:35:40,2025-05-25 16:35:59.287
Instalator niskonapięciowy,RedaGdańska,https://ogloszenia.trojmiasto.pl/praca-zatrudnie/instalator-niskonapieciowy-ogl65744417.html,,18.06.2024,19.05.2025,Praca w terenie,Umowa o pracę,Pełny etat,Naprawa / Serwis / Usługi,Pracownik fizyczny,,"Digital Technikjest nowoczesną, dynamicznie rozwijającą się firmą. Oferujemy sprawdzone systemy zabezpieczeń dla przedsiębiorstw i osób prywatnych z całej Polski z zakresu instalacji alarmowych oraz systemów CCTV (monitoring przemysłowy).Aktualnie do naszego zespołu poszukujemy osoby na stanowisku:elektryk ( instalacje niskonapięciowe)Miejsce pracy: RedaOpis stanowiska:- montaż instalacji niskonapięciowych (CCTV, SSWiN, KD, LAN, PP)- prace elektryczneWymagania:- praca w systemie delegacyjnym- zaangażowanie i chęć do pracy- odpowiedzialność- umiejętność pracy w zespole- prawo jazdy kat. ""B""- mile widziane uprawnienia SEPOferujemy:- umowa o pracę- pracę w młodym zespole- wynagrodzenie 7000-8000 zł brutto- atrakcyjny system premiowaniaOsoby zainteresowane zapraszamy do kontaktu telefonicznego oraz do wysyłania swoich CV na adres mailowy:b...@digit...Wyświetl e-mail×Zabezpieczenie anty-spamoweZamknij",2025-05-25 16:35:41,2025-05-25 16:35:59.287
Agent ds. sprzedaży nieruchomości,Gdańsk OliwaKaprów 19/3,https://ogloszenia.trojmiasto.pl/praca-zatrudnie/agent-ds-sprzedazy-nieruchomosci-ogl66077624.html,,08.05.2025,,Hybrydowa,"Umowa zlecenie,, Kontrakt B2B",Pełny etat,"Sprzedaż / doradztwo,, Pośrednictwo nieruchomości",Specjalista,,Twój zakres obowiązkówpozyskiwanie nieruchomości na sprzedaż i na wynajemrzetelne przygotowywanie ofert do publikacji oraz prezentowanie nieruchomości potencjalnym klientomutrzymywanie bardzo dobrych relacji z klientamipośrednictwo w transakcjach sprzedaży oraz wynajmie nieruchomościnegocjowanie umów sprzedażyuczestniczenie w procesie rozwoju firmyNasze wymaganiawysoka kultura osobistałatwość nawiązywania kontaktów interpersonalnychumiejętność współpracy z zespołemdoświadczenie w sprzedaży i obsłudze klientasprawne zarządzanie własnym czasemodpowiedzialnośćprawo jazdy kat. B i własny samochódTo oferujemyDoradztwo i System pozyskiwania ofertByć może najkorzystniejszy w branży podział zysku ze sprzedaży z DoradcąDobra atmosfera pracy – ważna dla nowych i doświadczonych DoradcówWsparcie merytoryczneWsparcie technologiczne,2025-05-25 16:35:41,2025-05-25 16:35:59.288
Barman/Barmanka,Sopot Wyścigi / KarlikowoBitwy pod Płowcami 54,https://ogloszenia.trojmiasto.pl/praca-zatrudnie/barmanbarmanka-ogl65677673.html,,16.04.2024,23.05.2025,Stacjonarna,"Umowa zlecenie,, Kontrakt B2B",Pełny etat,Gastronomia,Pracownik fizyczny,,"Radisson Blu Hotel, Sopot to nowoczesny, 4-gwiazdkowy hotel zlokalizowany w kameralnej części Sopotu w odległości zaledwie 250 metrów od plaży. Architektura obiektu, połączona z jego wyjątkowym położeniem, doskonale sprzyja regeneracji, a także daje impuls dla rozwijania całorocznej oferty kulturowej czy prozdrowotnej dedykowanej mieszkańcom Trójmiasta.Nasza Restauracja serwuje śródziemnomorskie menu z szerokim wyborem win z własnej winnicy w Dolinie Rodanu oraz lokalnie ważone piwo. Radisson Blu Hotel, Sopot to również nowy wymiar spotkań. Hotel dysponuje największą przestrzenią konferencyjną w Trójmieście z oryginalnie zaprojektowanym, multifunkcjonalnym pawilonem.Do naszego zespołu poszukujemy osoby na stanowisko:BARMAN/BARMANKAMiejsce pracy: SopotTWOJE Zadania:Serwowanie koktajli klasycznych i autorskich:Serwis koktajli i wszystkich napojów z najwyższą dokładnością, dbając o wszystkie szczegółyZapewnienie najwyższej jakości obsługi:Utrzymywanie standardów obsługi Gości na najwyższym poziomie, zapewniając wyjątkowe doświadczenia każdej osobieZarządzanie zapasami:Efektywne zarządzanie zapasami, działając w zgodzie z zasadą „no waste policy”Dbanie o miejsce pracy:Troska o powierzony sprzęt i utrzymywanie w porządku przestrzeni barowejCZEGO Oczekujemy:Doświadczenia i pasjiKreatywności:Zdolności do tworzenia innowacyjnych i efektownych koktajliUmiejętności interpersonalnych:Otwartości i chęci do powiększania wiedzyDobrej znajomość języka angielskiegoGotowości do pracy w systemie zmianowymPozytywnego nastawienia do pracyUmiejętności pracy w zespoleCO Oferujemy:Konkurencyjne wynagrodzenie:Atrakcyjne wynagrodzenie adekwatne do Twoich umiejętności i doświadczenia.Rozwój i szkolenia:Możliwości rozwoju i uczestnictwa w specjalistycznych szkoleniach.Przestrzeń dla kreatywności:Możliwość eksperymentowania i wprowadzania własnych pomysłów wraz z zespołemZdobycie doświadczenia:Radisson Hotel Group będącej liderem na rynku hospitalityCiekawą pracę pełną wyzwańMożliwości rozwoju i awansu w strukturze sieci hotelowejPrzyjazną atmosferęPoznanie standardów pracy w prestiżowym czterogwiazdkowym hoteluKartę MultisportUbezpieczenie na życieOperatorem obiektu jest należąca do Grupy Kapitałowej Hossa, spółka Hossa.biz będąca zarządcą i administratorem nieruchomości biurowych, hotelowych i usługowych z uwzględnieniem prowadzenia kompleksowej obsługi, wynajmu oraz sprzedaży nieruchomości komercyjnych.Zapraszamy do wysłania CV na adres mailowy:r...@hossa...Wyświetl e-mail×Zabezpieczenie anty-spamoweZamknijz dopiskiemBarman/Barmanka RBHSInformujemy, że skontaktujemy się tylko z wybranymi Kandydatami.",2025-05-25 16:35:41,2025-05-25 16:35:59.289
Kelner/Kelnerka,Sopot Wyścigi / KarlikowoBitwy pod Płowcami 54,https://ogloszenia.trojmiasto.pl/praca-zatrudnie/kelnerkelnerka-ogl65697467.html,,06.05.2024,23.05.2025,Stacjonarna,Umowa zlecenie,Pełny etat,Gastronomia,Pracownik fizyczny,,"Radisson Blu Hotel, Sopot to nowoczesny, 4-gwiazdkowy hotel zlokalizowany w kameralnej części Sopotu w odległości zaledwie 250 metrów od plaży. Architektura obiektu, połączona z jego wyjątkowym położeniem, doskonale sprzyja regeneracji, a także daje impuls dla rozwijania całorocznej oferty kulturowej czy prozdrowotnej dedykowanej mieszkańcom Trójmiasta.Nasza Restauracja serwuje śródziemnomorskie menu z szerokim wyborem win z własnej winnicy w Dolinie Rodanu oraz lokalnie ważone piwo. Radisson Blu Hotel, Sopot to również nowy wymiar spotkań. Hotel dysponuje największą przestrzenią konferencyjną w Trójmieście z oryginalnie zaprojektowanym, multifunkcjonalnym pawilonem.Do naszego zespołu poszukujemy osoby na stanowisko:Kelner/KelnerkaMiejsce pracy: SopotZAKRES ZADAŃ:Obsługa Gości zgodnie ze standardami markiNASZE WYMAGANIA:Doświadczenie na podobnym stanowisku, (mile widziane w hotelu sieciowym)Umiejętność budowania relacji z Gośćmi, pozytywne nastawienieSamodzielność, zaangażowanie, bardzo dobra organizacja pracyOdporność na stres, umiejętność pracy pod presją czasuDobra znajomość języka angielskiegoOtwartość do pracy w godzinach porannych lub popołudniowychOFERUJEMY:Możliwość podjęcia pracy od zarazKorzystne warunki zatrudnieniaPracę w przyjaznej atmosferzeZdobycie doświadczenia w organizacji Radisson Hotel Group będącej liderem na rynku hospitalityZniżki na usługi hotelowe grupy Radisson na całym świecieCiekawą pracę pełną wyzwańSzkolenia w sieci Radisson Hotel GroupOperatorem obiektu jest należąca do Grupy Kapitałowej Hossa, spółka Hossa.biz będąca zarządcą i administratorem nieruchomości biurowych, hotelowych i usługowych z uwzględnieniem prowadzenia kompleksowej obsługi, wynajmu oraz sprzedaży nieruchomości komercyjnych.Zapraszamy do wysłania CV na adres mailowy:r...@hossa...Wyświetl e-mail×Zabezpieczenie anty-spamoweZamknijz dopiskiemKelner/Kelnerka RBHSInformujemy, że skontaktujemy się tylko z wybranymi Kandydatami.",2025-05-25 16:35:42,2025-05-25 16:35:59.290
Kelner śniadaniowy,Sopot Wyścigi / KarlikowoBitwy pod Płowcami 54,https://ogloszenia.trojmiasto.pl/praca-zatrudnie/kelner-sniadaniowy-ogl66055992.html,,17.04.2025,23.05.2025,Stacjonarna,"Umowa zlecenie,, Kontrakt B2B",Pełny etat,"Gastronomia,, Hotelarstwo",Pracownik fizyczny,,"Radisson Blu Hotel, Sopot to nowoczesny, 4-gwiazdkowy hotel zlokalizowany w kameralnej części Sopotu w odległości zaledwie 250 metrów od plaży. Architektura obiektu, połączona z jego wyjątkowym położeniem, doskonale sprzyja regeneracji, a także daje impuls dla rozwijania całorocznej oferty kulturowej czy prozdrowotnej dedykowanej mieszkańcom Trójmiasta.Nasza Restauracja serwuje śródziemnomorskie menu z szerokim wyborem win z własnej winnicy w Dolinie Rodanu oraz lokalnie ważone piwo. Radisson Blu Hotel, Sopot to również nowy wymiar spotkań. Hotel dysponuje największą przestrzenią konferencyjną w Trójmieście z oryginalnie zaprojektowanym, multifunkcjonalnym pawilonem.Do naszego zespołu poszukujemy osoby na stanowisko:Kelner/Kelnerka śniadaniowy/aMiejsce pracy: SopotZAKRES ZADAŃ:•  Obsługa Gości zgodnie za standardami markiNASZE OCZEKIWANIA:• Umiejętność budowania relacji z Gośćmi• Bardzo dobra organizacja pracy własnej i w zespole• Dobra znajomość języka angielskiego• Pozytywne nastawienie do pracy• Mile widziane doświadczenie na podobnym stanowiskuCO OFERUJEMY:•  Ciekawą pracę, pełną wyzwań•  Elastyczne godziny pracy•  Zdobycie doświadczenia w organizacji Radisson Hotel Group będącej liderem na rynku hospitality•  Szkolenia w sieci Radisson Hotel Group•  Przyjazną atmosferęZapraszamy do wysyłania CV na adres:r...@hossa...Wyświetl e-mail×Zabezpieczenie anty-spamoweZamknijz dopiskiem Kelner śniadaniowy.Informujemy, że skontaktujemy się tylko z wybranymi Kandydatami.Operatorem obiektu jest należąca do Grupy Kapitałowej Hossa , spółka Hossa.biz będąca zarządcą i administratorem nieruchomości biurowych, hotelowych i usługowych z uwzględnieniem prowadzenia kompleksowej obsługi, wynajmu oraz sprzedaży nieruchomości komercyjnych.",2025-05-25 16:35:42,2025-05-25 16:35:59.291
Barman/Barmanka,Gdańsk Wrzeszcz GórnySłowackiego 23,https://ogloszenia.trojmiasto.pl/praca-zatrudnie/barmanbarmanka-ogl65934862.html,,16.12.2024,09.05.2025,Stacjonarna,Umowa zlecenie,"Pełny etat,, Część etatu",Gastronomia,Specjalista,,"Stary Maneż to nowoczesny, wielofunkcyjny obiekt, będący jedną z najważniejszych części zrewitalizowanej  przestrzeni, która obecnie wraz z całym Garnizonem Kultury, stanowi nowe, tętniące życiem centrum kulturalne Gdańska Wrzeszcza. To nie tylko wyjątkowa przestrzeń muzyczna, kulturowa czy gastronomiczna, ale również alternatywa dla tradycyjnych sal konferencyjnych czy bankietowych, w której odbywa się szereg spotkań od tych kameralnych, przez rodzinne, aż po oficjalne gale biznesowe.Atmosferze spotkań sprzyja funkcjonujący w budynku browar rzemieślniczy, który z sukcesem odtwarza gdańskie tradycje browarnicze, jak również autorska gastronomia.Do naszego zespołu poszukujemy osoby na stanowisko:Barman/BarmankaMiejsce pracy: Gdańsk WrzeszczNASZE OCZEKIWANIAdoświadczenie w pracy na barzeumiejętność przygotowania podstawowych koktajli i półproduktów („prepów”)wysoka komunikatywnośćskrupulatnośćobsługa systemu POSOBOWIĄZKIaktywna sprzedażutrzymywanie porządku na barzeprzygotowanie koktajli alkoholowych i bezalkoholowychobsługa baristycznaprzygotowanie półproduktów(„prepów”)rozliczenie sprzedaży baruregularne inwentaryzacjeCO OFERUJEMYmożliwość podjęcia pracy od zarazatrakcyjne wynagrodzeniecałoroczną pracę w dynamicznym kompleksie gastronomiczno – rozrywkowymOperatorem obiektu jest należąca do Grupy Kapitałowej Hossa , spółka Hossa.biz będąca zarządcą i administratorem nieruchomości biurowych, hotelowych i usługowych z uwzględnieniem prowadzenia kompleksowej obsługi, wynajmu oraz sprzedaży nieruchomości komercyjnych.Na kulturalnej i rozrywkowej mapie Gdańska Stary Maneż od kilku lat konsekwentnie zaznacza swoje miejsce i niezmienni cieszy się popularnością wśród mieszkańców całego Trójmiasta  i jego metropolii. W naszym zespole stawiamy na kreatywność, zaangażowanie i pozytywne zakręcenie pracowników Starego Maneżu.Jeżeli zainteresowała Ciebie nasza oferta pracy prześlij proszę swoje CV na adres mailowy:r...@hossa...Wyświetl e-mail×Zabezpieczenie anty-spamoweZamknijz dopiskiemBarman/Barmanka SMInformujemy, że skontaktujemy się tylko z wybranymi kandydatami.Prosimy o umieszczenie zgody/zgód dot. przetwarzania danych osobowych, klauzula poniżej.",2025-05-25 16:35:43,2025-05-25 16:35:59.292
Kelner/Kelnerka,Gdańsk   WrzeszczJuliusza Słowackiego 23,https://ogloszenia.trojmiasto.pl/praca-zatrudnie/kelnerkelnerka-ogl65934864.html,,16.12.2024,09.05.2025,Stacjonarna,Umowa zlecenie,"Pełny etat,, Część etatu","Gastronomia,, Turystyka",Pracownik fizyczny,,"Stary Maneż to nowoczesny, wielofunkcyjny obiekt, będący jedną z najważniejszych części zrewitalizowanej  przestrzeni, która obecnie wraz z całym Garnizonem Kultury, stanowi nowe, tętniące życiem centrum kulturalne Gdańska Wrzeszcza. To nie tylko wyjątkowa przestrzeń muzyczna, kulturowa czy gastronomiczna, ale również alternatywa dla tradycyjnych sal konferencyjnych czy bankietowych, w której odbywa się szereg spotkań od tych kameralnych, przez rodzinne, aż po oficjalne gale biznesowe.Atmosferze spotkań sprzyja funkcjonujący w budynku browar rzemieślniczy, który z sukcesem odtwarza gdańskie tradycje browarnicze, jak również autorska gastronomia.Do naszego zespołu poszukujemy osoby na stanowisko:Kelner/KelnerkaMiejsce pracy: Gdańsk WrzeszczNASZE OCZEKIWANIAdoświadczenie w pracy na Salimiła aparycjaotwartość na potrzeby gościa (wysoka komunikatywność)komunikatywna znajomość angielskiegoobsługa sytemu POSOBOWIĄZKIaktywna sprzedażprzygotowanie lokalu do otwarcia/zamknięcia (ustawienie ogródka, drobne kwestie porządkowe)utrzymywanie porządku na Sali i w pozostałych pomieszczeniach lokaluobsługa gościobsługa systemu POSCO OFERUJEMYmożliwość podjęcia pracy od zarazatrakcyjne wynagrodzeniecałoroczną pracę w dynamicznym kompleksie gastronomiczno – rozrywkowymOperatorem obiektu jest należąca do Grupy Kapitałowej Hossa , spółka Hossa.biz będąca zarządcą i administratorem nieruchomości biurowych, hotelowych i usługowych z uwzględnieniem prowadzenia kompleksowej obsługi, wynajmu oraz sprzedaży nieruchomości komercyjnych.Na kulturalnej i rozrywkowej mapie Gdańska Stary Maneż od kilku lat konsekwentnie zaznacza swoje miejsce i niezmienni cieszy się popularnością wśród mieszkańców całego Trójmiasta  i jego metropolii. W naszym zespole stawiamy na kreatywność, zaangażowanie i pozytywne zakręcenie pracowników Starego Maneżu.Jeżeli zainteresowała Ciebie nasza oferta pracy prześlij proszę swoje CV na adres mailowy:r...@hossa...Wyświetl e-mail×Zabezpieczenie anty-spamoweZamknijz dopiskiemKelner/Kelnerka SMInformujemy, że skontaktujemy się tylko z wybranymi kandydatami.Prosimy o umieszczenie zgody/zgód dot. przetwarzania danych osobowych, klauzula poniżej.",2025-05-25 16:35:43,2025-05-25 16:35:59.292
